iter,f,gnorm,ap_norm,df_abs
1,456.1350488,6193.22439,0.004945105,71.15495453
2,444.4233979,7172.536842,0.175137756,11.71165093
3,416.0006079,6036.121374,1.371485469,28.42278992
4,412.2739965,13042.18881,0.404418006,3.726611442
5,396.9584553,2487.577938,2.121568693,15.31554119
6,391.1911766,2601.860101,2.551190041,5.767278659
7,378.6263469,809.6493388,10.74900027,12.56482972
8,349.2086272,655.1863095,30.7167965,29.41771968
9,323.6585999,114.4835785,31.016307,25.55002735
10,312.6690078,2763.764876,2.830019189,10.98959206
11,312.0409192,765.5106939,1.563227305,0.628088615
12,311.9846505,64.64997955,0.044297604,0.056268674
13,311.982593,12.66413478,0.216233134,0.002057536
14,311.9791999,51.54103476,0.240667651,0.003393087
15,311.8711038,199.0297185,10.38601579,0.108096087
16,203.702891,16178.97172,5687.659989,108.1682128
17,171.0702784,14268.06881,1972.824921,32.6326126
18,79.79354408,21195.04367,1238.793415,91.2767343
19,25.02345432,8877.860714,680.1539002,54.77008976
20,12.23576177,1346.787121,249.2156147,12.78769254
21,6.632251593,929.7276894,337.7835718,5.60351018
22,5.979810437,423.8789766,171.0118409,0.652441156
23,5.849326887,41.43737067,37.3934843,0.130483551
24,5.840226882,80.32224107,3.348748323,0.009100005
25,5.83791573,21.62583194,0.913551583,0.002311152
26,5.837512494,0.053783209,1.156849775,0.000403236
27,5.837506495,0.220427066,0.272853274,6.00E-06
28,5.837506448,0.007915602,0.020431294,4.68E-08
29,5.837506448,0.000147908,0.000126973,3.65E-11
30,5.837506448,1.69E-06,5.34E-06,3.20E-14
31,5.837506448,5.03E-08,7.57E-08,8.88E-16
