iter,f,gnorm,ap_norm,df_abs
1,456.1350488,6193.22439,0.004945105,71.15495453
2,451.9886165,886.0964441,0.00147658,4.146432238
3,451.9150625,292.9891074,0.000211262,0.073554015
4,451.9022589,193.1566756,6.99E-05,0.012803632
5,451.8609195,532.5898166,0.000368417,0.041339386
6,451.8301322,220.4970342,0.000126979,0.030787345
7,451.8185421,514.0960043,0.000210282,0.011590099
8,451.7936505,1073.985272,0.000619721,0.024891556
9,451.6820998,307.2867713,0.000256058,0.111550667
10,451.6686836,193.6259719,7.33E-05,0.013416294
11,451.6344556,594.3690765,0.000369312,0.034227955
12,451.598344,233.6668576,0.000141709,0.036111571
13,451.5849127,284.7453159,0.000111421,0.013431363
14,451.57469,373.8204073,0.000135777,0.010222692
15,451.5571184,199.1691377,8.91E-05,0.017571566
16,451.5343766,365.3386227,0.000189942,0.022741844
17,451.517388,198.006146,8.71E-05,0.016988587
18,451.4942188,357.2341752,0.000188833,0.023169159
19,451.4777755,196.8980116,8.52E-05,0.016443314
20,451.4572578,691.7916685,0.000375553,0.020517682
21,451.3829602,1384.065315,0.001204313,0.074297636
22,451.1991965,359.7570933,0.000329987,0.183763666
23,451.1828541,196.4927698,8.58E-05,0.01634242
24,451.1608206,363.2983478,0.00018739,0.022033461
25,451.1442652,196.6808743,8.66E-05,0.016555454
26,451.122562,366.8736316,0.000187569,0.021703167
27,451.1057891,196.8774796,8.75E-05,0.016772958
28,451.0844204,370.4828259,0.000187757,0.021368672
29,451.0674254,197.0826633,8.83E-05,0.016994985
30,451.0463955,374.1258424,0.000187953,0.021029917
31,451.0291739,197.2965065,8.92E-05,0.017221595
32,451.008487,377.8026254,0.000188157,0.020686841
33,450.9910342,197.5190934,9.01E-05,0.017452849
34,450.9706948,381.5131529,0.000188369,0.020339379
35,450.953006,197.7505119,9.10E-05,0.01768881
36,450.9330185,385.257439,0.00018859,0.019987462
37,450.915089,197.9908542,9.19E-05,0.017929544
38,450.895458,389.0355353,0.000188819,0.019631022
39,450.8772829,198.2402168,9.28E-05,0.018175121
40,450.8580129,392.8475332,0.000189057,0.019269982
41,450.8395873,198.4987012,9.37E-05,0.018425615
42,450.820683,396.6935659,0.000189303,0.018904266
43,450.8020019,198.7664144,9.46E-05,0.018681101
44,450.7834681,400.5738104,0.000189558,0.018533791
45,450.7645264,199.043469,9.55E-05,0.018941661
46,450.746368,404.48849,0.000189823,0.018158471
47,450.7271606,199.3299843,9.64E-05,0.01920738
48,450.7093824,408.4378769,0.000190096,0.017778214
49,450.689904,199.6260863,9.74E-05,0.019478349
50,450.6725111,412.4222945,0.000190378,0.017392925
51,450.6527564,199.9319087,9.83E-05,0.019754662
52,450.6357539,416.4421206,0.00019067,0.017002501
53,450.6157175,200.2475934,9.93E-05,0.020036419
54,450.5991107,420.4977899,0.000190971,0.016606834
55,450.578787,200.573291,0.000100254,0.020323728
56,450.5625812,424.5897975,0.000191282,0.016205811
57,450.5419645,200.9091618,0.00010123,0.0206167
58,450.5261651,428.7187023,0.000191602,0.01579931
59,450.5052497,201.2553765,0.000102215,0.020915456
60,450.4898625,432.8851305,0.000191932,0.015387203
61,450.4686424,201.612117,0.000103208,0.021220124
62,450.453673,437.0897794,0.000192272,0.014969354
63,450.4321422,201.9795772,0.00010421,0.021530837
64,450.4175966,441.3334219,0.000192623,0.014545616
65,450.3957488,202.3579644,0.000105222,0.02184774
66,450.381633,445.6169107,0.000192984,0.014115836
67,450.359462,202.7474997,0.000106243,0.022170986
68,450.3457821,449.9411834,0.000193355,0.013679848
69,450.3232814,203.1484197,0.000107274,0.022500738
70,450.3100439,454.3072673,0.000193737,0.013237477
71,450.2872068,203.5609773,0.000108315,0.02283717
72,450.2744182,458.7162852,0.000194131,0.012788536
73,450.2512378,203.9854433,0.000109366,0.023180468
74,450.2389049,463.1694615,0.000194536,0.012332824
75,450.2153741,204.4221076,0.000110428,0.023530829
76,450.203504,467.6681286,0.000194952,0.011870129
77,450.1796155,204.871281,0.000111501,0.023888466
78,450.1682153,472.2137338,0.00019538,0.01140022
79,450.1439617,205.3332963,0.000112585,0.024253606
80,450.1330388,476.8078474,0.000195821,0.010922854
81,450.1043553,980.13053,0.000573056,0.028683524
82,450.0160017,303.7092696,0.000233681,0.08835363
83,450.0032762,182.1936589,7.24E-05,0.012725498
84,449.9746922,564.6642565,0.000347507,0.028583973
85,449.9412157,213.7005743,0.000134626,0.033476508
86,449.9291252,255.7840445,0.0001019,0.012090541
87,449.9193371,331.4797161,0.000121967,0.009788028
88,449.9051646,185.2153953,7.90E-05,0.014172566
89,449.8876887,663.3002124,0.00035327,0.01747584
90,449.8363528,1423.590525,0.001175289,0.051335946
91,449.6572374,410.9043817,0.00033941,0.179115354
92,449.6571071,436.9492088,1.45E-05,0.000130333
93,449.6354862,194.6015579,0.000104177,0.021620905
94,449.6212794,416.1496186,0.000185587,0.014206796
95,449.6012959,191.8309537,9.92E-05,0.019983459
96,449.585772,397.122977,0.000182944,0.01552388
97,449.5672168,189.3473587,9.47E-05,0.018555265
98,449.5505504,379.6725272,0.000180576,0.016666419
99,449.5332467,187.1124306,9.05E-05,0.017303683
100,449.515586,363.6305517,0.000178444,0.017660685
101,449.4993839,185.09386,8.67E-05,0.016202125
102,449.4808556,348.8531054,0.000176519,0.018528257
103,449.4656269,183.2642739,8.32E-05,0.015228756
104,449.4463399,335.2158531,0.000174774,0.019286997
105,449.4319743,181.6003657,7.99E-05,0.014365515
106,449.4149,639.5036423,0.000346375,0.017074296
107,449.3563812,1297.192572,0.001115612,0.058518815
108,449.1946298,332.3243061,0.000309275,0.161751402
109,449.1806565,180.5915086,7.92E-05,0.013973344
110,449.1616732,329.5734412,0.000172225,0.018983242
111,449.1478732,180.0595034,7.86E-05,0.013800061
112,449.1288065,326.70965,0.000171718,0.019066693
113,449.115185,179.5168896,7.79E-05,0.013621535
114,449.0960297,323.7362737,0.000171201,0.01915528
115,449.0825915,178.9643187,7.72E-05,0.013438129
116,449.0668478,644.0080475,0.000341347,0.015743752
117,449.0265476,1410.806633,0.001146174,0.040300173
118,448.8503621,403.0105814,0.000336363,0.176185523
119,448.8503155,428.5778239,1.40E-05,4.66E-05
120,448.829614,188.3340437,0.000102181,0.020701514
121,448.8166469,404.9941746,0.000179609,0.012967096
122,448.7977612,185.240023,9.66E-05,0.018885685
123,448.7833465,383.6551802,0.000176659,0.014414654
124,448.7660153,182.510548,9.15E-05,0.017331213
125,448.7503669,364.2924127,0.000174056,0.01564844
126,448.7343737,180.0923435,8.69E-05,0.015993189
127,448.7176698,346.6797996,0.000171749,0.016703851
128,448.7028341,177.9411152,8.27E-05,0.014835748
129,448.6852246,330.625374,0.000169698,0.017609433
130,448.6713947,176.0198217,7.88E-05,0.013829982
131,448.656775,628.7685766,0.000335731,0.014619678
132,448.6195715,1345.035371,0.001111385,0.037203478
133,448.4456227,336.204802,0.000320681,0.173948775
134,448.4316743,176.0278717,8.02E-05,0.013948383
135,448.4147072,331.2804053,0.000167873,0.016967195
136,448.4010623,175.2426156,7.90E-05,0.013644845
137,448.38388,326.2730817,0.000167124,0.017182341
138,448.3705393,174.4546424,7.78E-05,0.01334071
139,448.3531417,321.1923561,0.000166373,0.017397529
140,448.340105,173.6654495,7.66E-05,0.013036745
141,448.322493,316.0481486,0.00016562,0.017612
142,448.3097593,172.8765347,7.54E-05,0.012733708
143,448.2919343,310.8507321,0.000164868,0.017825011
144,448.2795019,172.089385,7.41E-05,0.012432344
145,448.263983,611.941322,0.000328234,0.015518896
146,448.2139163,1285.067577,0.001077214,0.050066678
147,448.0664422,366.3611083,0.000306384,0.147474131
148,448.0658359,456.3429978,5.31E-05,0.000606292
149,448.0431166,186.6417582,0.000108801,0.022719353
150,448.03376,426.0065857,0.000177995,0.009356587
151,448.0135174,182.5529313,0.000101568,0.020242553
152,448.0022066,398.9778067,0.000174096,0.011310861
153,447.9840263,179.0254528,9.51E-05,0.018180255
154,447.9710896,374.8069923,0.000170732,0.01293673
155,447.9546387,175.9673688,8.94E-05,0.016450844
156,447.9403425,353.1245618,0.000167816,0.014296248
157,447.9253512,173.3038372,8.42E-05,0.014991341
158,447.9099132,333.623522,0.000165275,0.015437905
159,447.8961607,170.9735211,7.95E-05,0.013752562
160,447.8797607,316.0463534,0.000163053,0.016399998
161,447.867065,168.9258397,7.54E-05,0.012695678
162,447.8525038,595.6259812,0.0003222,0.014561179
163,447.8045986,1219.007866,0.001040268,0.047905193
164,447.661543,309.0527878,0.000290634,0.143055666
165,447.649427,167.4856721,7.37E-05,0.01211599
166,447.6328087,302.0885375,0.000159727,0.01661825
167,447.6210834,166.5139778,7.20E-05,0.011725298
168,447.6064343,590.7149396,0.0003176,0.01464914
169,447.5580129,1232.000588,0.001037577,0.048421402
170,447.4219219,349.358149,0.000293732,0.136091033
171,447.4210538,433.6662963,5.11E-05,0.000868102
172,447.4003951,179.3124845,0.000103394,0.020658616
173,447.39094,402.8452684,0.000171006,0.009455095
174,447.3726691,175.2518956,9.60E-05,0.018270944
175,447.3613505,375.5567251,0.000167133,0.011318628
176,447.3450458,171.7832518,8.95E-05,0.016304707
177,447.3321941,351.3108809,0.000163825,0.012851647
178,447.3175205,168.8056194,8.38E-05,0.014673663
179,447.3034013,329.706472,0.000160986,0.014119119
180,447.2900895,166.2373037,7.86E-05,0.013311846
181,447.2749181,310.4109965,0.000158536,0.015171388
182,447.2627499,164.0117429,7.40E-05,0.012168164
183,447.249737,583.0261027,0.000312828,0.013012933
184,447.2134598,1230.618854,0.00102591,0.036277253
185,447.0676415,307.362919,0.000293402,0.14581823
186,447.0558223,163.0336525,7.33E-05,0.011819265
