iter,f,gnorm,ap_norm,df_abs
1,494.8255314,26360.27483,0.009890211,32.46447195
2,467.949539,11294.62274,0.006284779,26.87599232
3,451.9044574,279.724438,0.002692848,16.04508161
4,451.8934437,364.222046,0.000133383,0.01101377
5,451.8888016,507.3176684,0.000173675,0.004642107
6,451.8609895,220.8240734,0.000120954,0.027812037
7,451.8496082,521.7674233,0.000210594,0.011381348
8,451.8205076,222.8580993,0.000124399,0.029100541
9,451.8106597,537.0894093,0.000212534,0.009847938
10,451.7801529,225.0810293,0.000128052,0.030506808
11,451.7719719,553.3674742,0.000214654,0.008181017
12,451.7399261,227.5141717,0.000131933,0.032045758
13,451.7335631,570.6968938,0.000216974,0.006362971
14,451.6998283,230.1819861,0.000136065,0.033734799
15,451.6954552,589.1863435,0.000219519,0.004373128
16,451.6598609,233.1126597,0.000140473,0.035594354
17,451.6576738,608.9602919,0.000222314,0.002187106
18,451.6200253,236.3388126,0.000145187,0.037648502
19,451.6067118,289.5768171,0.000112695,0.013313499
20,451.5967915,381.9190195,0.000138081,0.009920282
21,451.5940986,536.5777271,0.000182113,0.002692877
22,451.5637055,223.7618764,0.00012793,0.030393105
23,451.5559241,551.7313264,0.000213396,0.007781399
24,451.5241009,226.0146772,0.000131543,0.031823229
25,451.5180062,567.8085451,0.000215544,0.006094632
26,451.4846219,228.472942,0.000135376,0.033384339
27,451.4803629,584.9011035,0.000217889,0.004258964
28,451.4452696,231.1601817,0.000139451,0.035093351
29,451.4430152,603.1134932,0.000220452,0.002254354
30,451.4060452,234.1034472,0.000143793,0.036970067
31,451.4059879,622.5652339,0.000223258,5.72E-05
32,451.3669502,237.3339904,0.000148431,0.039037789
33,451.3540545,292.6096885,0.00011317,0.012895647
34,451.344701,387.7819822,0.000139527,0.009353503
35,451.3428723,546.4135683,0.000184909,0.00182869
36,451.3116234,223.9195323,0.000130275,0.031248918
37,451.3054004,560.9924499,0.000213546,0.006222989
38,451.272751,226.1159698,0.000133751,0.032649404
39,451.2681738,576.4253798,0.000215641,0.004577172
40,451.2340015,228.5035007,0.000137431,0.034172374
41,451.2312088,592.7955648,0.000217918,0.00279268
42,451.1953756,231.1033264,0.000141333,0.035833146
43,451.1945242,610.1975146,0.000220397,0.000851449
44,451.1568746,233.9397578,0.000145482,0.037649573
45,451.1440911,287.3976173,0.000111551,0.012783537
46,451.1346712,379.6742227,0.000137042,0.009419847
47,451.1323953,533.648203,0.000181043,0.002275956
48,451.1024164,220.6252723,0.000127232,0.029978872
49,451.0952973,546.2657028,0.000210405,0.007119131
50,451.0641366,222.4653863,0.00013024,0.031160618
51,451.05841,559.5436658,0.00021216,0.005726611
52,451.0259756,224.4512699,0.000133406,0.032434442
53,451.0217445,573.5413298,0.000214053,0.004231112
54,450.9879337,226.5976672,0.000136743,0.033810762
55,450.9853132,588.3253379,0.0002161,0.002620521
56,450.9500116,228.9213099,0.000140268,0.035301563
57,450.9491308,603.9709021,0.000218316,0.000880838
58,450.9122101,231.4412496,0.000143998,0.036920694
59,450.8996399,284.0045691,0.00011036,0.012570176
60,450.8903326,374.7340795,0.000135424,0.009307319
61,450.8879483,526.0549421,0.000178687,0.00238432
62,450.8587486,217.9764252,0.000125421,0.029199651
63,450.8513688,536.9490522,0.000207879,0.007379821
64,450.8211653,219.5216027,0.000128019,0.030203559
65,450.8149729,548.3452183,0.000209352,0.006192348
66,450.7836967,221.1767729,0.000130736,0.031276207
67,450.7787678,560.284864,0.000210931,0.004928926
68,450.7463432,222.9520078,0.000133582,0.032424587
69,450.7427617,572.8141698,0.000212624,0.003581532
70,450.709105,224.8586231,0.00013657,0.033656647
71,450.706964,585.984753,0.000214442,0.002141013
72,450.6719825,226.9093681,0.00013971,0.034981449
73,450.6713857,599.8544674,0.000216398,0.000596891
74,450.6349763,229.1186502,0.000143016,0.036409364
75,450.6226772,281.108853,0.000109252,0.012299073
76,450.6135648,370.7445853,0.000134043,0.009112463
77,450.6112044,520.0602084,0.000176785,0.002360361
78,450.5826391,215.3867455,0.000123992,0.028565263
