iter,f,gnorm,ap_norm,df_abs
1,456.1350488,6193.22439,0.004945105,71.15495453
2,451.9886165,886.0964441,0.00147658,4.146432238
3,451.9150625,292.9891074,0.000211262,0.073554015
4,451.9022589,193.1566756,6.99E-05,0.012803632
5,451.8609195,532.5898166,0.000368417,0.041339386
6,451.8301322,220.4970342,0.000126979,0.030787345
7,451.8185421,514.0960043,0.000210282,0.011590099
8,451.7895381,217.7510549,0.00012257,0.029003985
9,451.7764713,496.8662156,0.000207664,0.013066776
10,451.7490722,215.2217047,0.000118462,0.027399065
11,451.7346819,480.770926,0.000205251,0.014390316
12,451.708733,212.8842831,0.000114625,0.025948934
13,451.6931527,465.6982743,0.000203022,0.015580293
14,451.6685189,210.7175955,0.000111031,0.024633812
15,451.6518657,451.551149,0.000200956,0.016653196
16,451.6284287,208.7033659,0.000107658,0.02343704
17,451.6108057,438.2448351,0.000199035,0.017622996
18,451.5884611,206.825763,0.000104486,0.022344506
19,451.5699595,425.7050975,0.000197244,0.018501604
20,451.5486154,205.0710134,0.000101496,0.021344189
21,451.5293161,413.8666103,0.000195571,0.019299222
22,451.5088903,203.4270854,9.87E-05,0.020425786
23,451.4888657,402.6716603,0.000194003,0.020024637
24,451.4692853,201.8834285,9.60E-05,0.019580433
25,451.4485998,392.0690701,0.000192531,0.020685451
26,451.4297994,200.430757,9.35E-05,0.01880046
27,451.4085111,382.0132993,0.000191146,0.02128827
28,451.3904319,199.0608703,9.11E-05,0.018079203
29,451.368593,372.4636888,0.000189839,0.021838858
30,451.3511822,197.7665022,8.88E-05,0.017410849
31,451.3288399,363.3838235,0.000188605,0.022342266
32,451.3120496,196.541194,8.66E-05,0.016790306
33,451.2892467,354.7409917,0.000187436,0.022802935
34,451.2730336,195.379188,8.46E-05,0.016213098
35,451.2527359,685.7857799,0.000372656,0.020297637
36,451.2049491,239.3703153,0.000163504,0.047786804
37,451.1924236,296.3014181,0.000114141,0.012525536
38,451.1796949,189.0003404,7.06E-05,0.012728692
39,451.1430431,543.46321,0.00036049,0.036651846
40,451.1113936,217.7684717,0.000129572,0.031649457
41,451.0978267,257.0382562,0.00010384,0.013566962
42,451.0864601,329.0960343,0.000122565,0.011366573
43,451.0720237,192.2965579,7.85E-05,0.014436398
44,451.0478134,655.4643635,0.000366777,0.024210286
45,451.0052106,241.2991153,0.000156275,0.042602766
46,450.9930544,301.4730957,0.00011506,0.012156178
47,450.9801934,188.7902477,7.19E-05,0.012861049
48,450.9478648,580.6020924,0.000360089,0.032328564
49,450.9133631,227.3804369,0.000138426,0.034501694
50,450.9005719,276.5260138,0.000108423,0.012791206
51,450.8907634,362.1250015,0.000131858,0.009808549
52,450.8742028,193.7002071,8.63E-05,0.016560578
53,450.8523571,352.1466663,0.000184727,0.021845681
54,450.8364578,192.3980889,8.40E-05,0.015899342
55,450.8174938,679.4401406,0.00036697,0.018964033
56,450.7706136,235.8523615,0.000161991,0.046880127
57,450.7585111,291.9599818,0.000112463,0.01210254
58,450.7461645,185.8689154,6.96E-05,0.012346584
59,450.7106554,533.8086257,0.000354517,0.035509071
60,450.6800865,213.8449511,0.00012727,0.030568914
61,450.6669401,252.0145776,0.000101969,0.013146383
62,450.6558849,321.9911217,0.00012017,0.011055276
63,450.6420076,188.8414348,7.68E-05,0.013877293
64,450.6177331,637.1470015,0.000360186,0.024274503
65,450.5773097,235.4871477,0.000151908,0.040423405
66,450.5654389,292.9516295,0.000112289,0.01187074
67,450.5531775,185.2402652,6.98E-05,0.012261453
68,450.5206416,558.7197735,0.000353318,0.032535825
69,450.4884465,221.1831708,0.000133209,0.03219516
70,450.4759382,267.2345419,0.000105468,0.012508266
71,450.4661288,347.8131565,0.000127427,0.009809459
72,450.4506354,189.51196,8.29E-05,0.015493346
73,450.4322432,669.1019367,0.000361465,0.01839225
74,450.386747,231.9845938,0.000159526,0.045496204
75,450.3749793,286.7980466,0.000110619,0.011767616
76,450.363037,182.9439186,6.84E-05,0.011942359
77,450.3282261,522.0354184,0.000348938,0.034810923
78,450.2989111,209.9055079,0.000124463,0.029314987
79,450.2861164,246.7259246,0.000100091,0.012794686
80,450.2752932,314.2567848,0.000117648,0.010823202
81,450.2619846,185.6004386,7.49E-05,0.013308547
82,450.2372742,617.2373484,0.000354005,0.024710453
83,450.1991364,229.6860626,0.000147161,0.038137797
84,450.1874899,284.2563893,0.000109523,0.011646444
85,450.1758075,181.9612438,6.78E-05,0.011682483
86,450.1428568,536.3657288,0.000347064,0.032950669
87,450.112921,215.2386633,0.00012788,0.029935773
88,450.1006479,258.182653,0.000102634,0.012273122
89,450.0908062,333.7436451,0.000123111,0.009841682
90,450.0763127,185.6531474,7.96E-05,0.014493486
91,450.0556291,636.1332429,0.000354105,0.020683592
92,450.0142078,224.7042395,0.000151666,0.041421306
93,450.0025808,275.4872952,0.000107147,0.011626982
94,449.9913454,179.508244,6.57E-05,0.011235409
95,449.9557137,494.8356505,0.000342385,0.035631688
96,449.9290507,203.9353975,0.000117978,0.026663042
97,449.9184165,469.9033345,0.000194488,0.010634241
98,449.8939731,200.4304878,0.000112034,0.024443346
99,449.8815362,447.1991288,0.000191145,0.012436912
100,449.859014,197.3061309,0.000106621,0.022522241
101,449.8450204,426.4541289,0.000188166,0.013993543
102,449.8241703,194.5090861,0.000101675,0.020850125
103,449.8088269,407.4423725,0.000185498,0.0153434
104,449.7894397,191.9949614,9.71E-05,0.019387229
105,449.7729214,389.972496,0.000183101,0.016518279
106,449.75482,189.7265084,9.30E-05,0.018101362
107,449.7372759,373.8812673,0.000180937,0.017544148
108,449.7203096,187.67229,8.91E-05,0.016966243
109,449.7018672,359.0285174,0.000178978,0.018442387
110,449.685907,185.8056306,8.56E-05,0.015960248
111,449.6666763,345.2931291,0.000177198,0.019230721
112,449.6516108,184.103781,8.23E-05,0.01506545
113,449.6316869,332.5698333,0.000175575,0.019923952
114,449.61742,182.5472498,7.93E-05,0.014266889
115,449.5986779,633.4126066,0.000348181,0.018742044
116,449.5576936,221.5157183,0.000151017,0.0409843
117,449.5465527,271.9852402,0.000105627,0.011140919
118,449.5356504,176.1808746,6.48E-05,0.010902283
119,449.5016006,487.7952683,0.000336038,0.034049811
120,449.4757103,200.1463455,0.000116299,0.025890348
121,449.4655127,461.2586196,0.000190874,0.010197632
122,449.4419478,196.4496211,0.000109973,0.023564807
123,449.4298734,437.2276759,0.000187349,0.012074486
124,449.4083017,193.1811086,0.000104243,0.021571663
125,449.3946215,415.3891594,0.000184232,0.013680221
126,449.3747685,190.2782412,9.90E-05,0.019852994
127,449.3597083,395.4815067,0.000181463,0.015060194
128,449.3413454,187.6891967,9.43E-05,0.018362838
129,449.3250947,377.2844687,0.000178994,0.016250783
130,449.3080303,185.3707682,9.00E-05,0.017064344
131,449.2907489,360.6111255,0.000176783,0.017281435
132,449.2748212,183.2867136,8.60E-05,0.015927699
133,449.256645,345.3016849,0.000174796,0.018176189
134,449.2417164,181.4064636,8.23E-05,0.014928575
135,449.2227616,331.2186131,0.000173003,0.018954822
136,449.2087146,179.7040999,7.90E-05,0.014046965
137,449.1916132,630.257141,0.000342758,0.017101454
138,449.1511027,218.5303295,0.000150265,0.040510517
139,449.1403892,268.6410282,0.000104203,0.010713461
140,449.1297928,173.1495933,6.40E-05,0.010596377
141,449.0971131,481.0310197,0.000330257,0.032679747
142,449.0719478,196.667119,0.000114687,0.02516525
143,449.0621155,453.14542,0.000187556,0.009832323
144,449.0393571,192.812885,0.000108038,0.022758399
145,449.0275939,428.0154774,0.000183881,0.011763169
146,449.0068807,189.4296108,0.000102047,0.020713243
147,448.9934791,405.2866131,0.000180654,0.01340161
148,448.9745149,186.4459575,9.66E-05,0.018964219
149,448.9597164,384.6643661,0.000177809,0.014798511
150,448.9422566,183.803167,9.17E-05,0.017459756
151,448.9262623,365.901958,0.000175288,0.015994334
152,448.9101034,181.4525145,8.72E-05,0.016158851
153,448.8930818,348.790824,0.000173047,0.017021584
154,448.8780533,179.3533438,8.32E-05,0.015028582
155,448.8601467,333.1533113,0.000171045,0.0179066
156,448.8461044,177.4715389,7.94E-05,0.01404228
157,448.8274335,318.8369869,0.00016925,0.018670907
158,448.8142553,175.7783216,7.60E-05,0.013178163
159,448.7957199,601.7701738,0.000335271,0.018535412
160,448.758565,211.777116,0.000143473,0.037154889
161,448.7480734,258.5160523,0.000100983,0.010491604
162,448.7380997,169.5767512,6.16E-05,0.009973683
163,448.7052154,457.3690797,0.000323442,0.032884272
164,448.6822135,191.0257809,0.000109045,0.023001961
165,448.6715299,430.0752317,0.000182176,0.010683569
166,448.6507665,187.3411159,0.000102538,0.020763391
167,448.6382982,405.5333069,0.000178662,0.012468336
168,448.6194295,184.1191214,9.67E-05,0.018868652
169,448.6054537,383.3905759,0.00017559,0.013975856
170,448.5881989,181.2886873,9.14E-05,0.017254743
171,448.572944,363.3538205,0.00017289,0.015254937
172,448.5570718,178.7912953,8.66E-05,0.015872174
173,448.5407275,345.1770247,0.000170509,0.016344354
174,448.5260458,176.5784742,8.23E-05,0.01468165
175,448.5087706,328.6519967,0.000168398,0.017275205
176,448.4951189,174.6098351,7.84E-05,0.013651667
177,448.4770463,313.6011343,0.000166521,0.018072656
178,448.4642895,172.8515396,7.48E-05,0.012756745
179,448.4461161,589.868145,0.000329688,0.018173455
180,448.4103688,207.7872509,0.000140636,0.035747285
181,448.4001801,253.1617394,9.91E-05,0.010188729
182,448.3923886,332.7470562,0.000120717,0.007791436
183,448.3786645,175.2632457,7.93E-05,0.013724111
184,448.3616204,327.6738864,0.000167144,0.017044082
185,448.3482056,174.4655487,7.81E-05,0.013414851
